n,correlation,algorithm,config_name,mean_value,std_value,mean_gap,std_gap,mean_time_ms,std_time_ms,mean_evaluations,std_evaluations,mean_iterations,std_iterations,optimal_rate
100,weakly,GA,GA_CROSS_060,27407.9,642.7888524927041,0.1129912149204754,0.04061861874821425,152.90993870998136,5.270756289584999,20200.0,0.0,100.0,0.0,0.11000000000000001
100,weakly,GA,GA_CROSS_095,27422.870000000003,639.853686487084,0.05818132553578098,0.02734502869666463,161.81895461993918,4.577714996135489,20200.0,0.0,100.0,0.0,0.26
100,weakly,GA,GA_MUT_HIGH,27425.49,639.8938253075017,0.04862526772320617,0.01924429701340983,164.43172351009707,3.581171942242933,20200.0,0.0,100.0,0.0,0.25
100,weakly,GA,GA_MUT_LOW,27408.95,642.0745807320382,0.10910130632352041,0.04081071038245787,150.13838068995028,4.974754181468832,20200.0,0.0,100.0,0.0,0.13
100,weakly,GA,GA_POP_200,27429.159999999996,640.2805031130237,0.035274056124532334,0.022568252187099392,316.8376997999985,9.722431002530543,40400.0,0.0,100.0,0.0,0.38
100,weakly,GA,GA_POP_50,27383.559999999998,637.9912803305217,0.20136720896343938,0.04626018899966418,79.16091550994679,3.398056999046476,10100.0,0.0,100.0,0.0,0.05
100,weakly,GA,GA_TOUR_5,27398.02,641.4459668938956,0.1489093589320421,0.048693247900958816,163.87752405995343,4.356117487909657,20200.0,0.0,100.0,0.0,0.05
100,weakly,SA,SA_BASE,27103.85,597.5255313001745,1.21787176141818,0.2881828869573538,27.73115138998037,0.8341599050298383,5516.0,0.0,2757.0,0.0,0.0
100,weakly,SA,SA_COOL_FAST,26809.340000000004,594.0836832186749,2.2914172900312963,0.2899636536500016,6.953164059850678,0.2431281181991715,1370.0,0.0,684.0,0.0,0.0
100,weakly,SA,SA_COOL_SLOW,27285.65,633.0985972886757,0.5578840254746817,0.16124948126959232,100.52475182992566,4.711153930657482,20002.0,0.0,10000.0,0.0,0.0
100,weakly,SA,SA_T0_HIGH,27105.25,593.1171876900329,1.2124405720102776,0.2672043105724184,30.54298237000694,1.3608538298005084,6158.0,0.0,3078.0,0.0,0.0
100,weakly,SA,SA_T0_LOW,26817.840000000004,562.8834262576546,2.258211916988079,0.28939187380233233,23.25004018000982,0.7209098575607068,4596.0,0.0,2297.0,0.0,0.0
