instance_id,n,correlation,algorithm,config_name,run,seed,best_value_found,best_weight_found,optimum_value,gap_percent,execution_time_ms,evaluations,iterations_executed
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,8,20260714,32740,26040,33050,0.9379727685325264,92.58905200113077,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,9,20260715,32607,26007,33050,1.340393343419062,93.61184699992009,20002,10000
n100_strongly_00,100,strongly,SA,SA_T0_LOW,0,20260706,31527,26027,33050,4.608169440242057,21.86848400015151,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,1,20260707,31742,26042,33050,3.957639939485628,22.07940300104383,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,2,20260708,31341,26041,33050,5.170953101361573,21.298172001479543,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,3,20260709,31644,25944,33050,4.254160363086233,21.507527999347076,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,4,20260710,31440,26040,33050,4.871406959152798,23.318343999562785,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,5,20260711,31528,26028,33050,4.605143721633888,24.183608000384993,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,6,20260712,32230,26030,33050,2.481089258698941,23.181680999186938,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,7,20260713,31440,26040,33050,4.871406959152798,23.937144000228727,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,8,20260714,31505,26005,33050,4.674735249621785,23.046899999826564,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_LOW,9,20260715,32041,26041,33050,3.0529500756429653,22.281381001448608,4596,2297
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,0,20260706,32438,26038,33050,1.8517397881996973,28.409663998900214,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,1,20260707,32343,26043,33050,2.1391830559757943,28.352973000437487,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,2,20260708,32113,26013,33050,2.8350983358547657,28.546396999445278,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,3,20260709,32426,26026,33050,1.888048411497731,28.80018799987738,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,4,20260710,32539,26039,33050,1.546142208774584,27.840017999551492,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,5,20260711,31937,26037,33050,3.3676248108925866,27.884525999979815,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,6,20260712,32448,26048,33050,1.821482602118003,28.192169998874306,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,7,20260713,32281,25981,33050,2.3267776096822996,27.883795999514405,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,8,20260714,32548,26048,33050,1.518910741301059,27.878066000994295,6158,3078
n100_strongly_00,100,strongly,SA,SA_T0_HIGH,9,20260715,32663,25963,33050,1.1709531013615735,28.03524400042079,6158,3078
n100_strongly_01,100,strongly,GA,GA_BASE,0,20261706,34723,28123,34723,0.0,156.01173499999277,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,1,20261707,34723,28123,34723,0.0,155.17910500057042,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,2,20261708,34723,28123,34723,0.0,155.22550199966645,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,3,20261709,34722,28122,34723,0.0028799354894450363,157.0573589997366,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,4,20261710,34722,28122,34723,0.0028799354894450363,156.2531260005926,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,5,20261711,34723,28123,34723,0.0,160.25585799980036,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,6,20261712,34723,28123,34723,0.0,156.1595090006449,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,7,20261713,34723,28123,34723,0.0,154.5981830004166,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,8,20261714,34723,28123,34723,0.0,158.35814199999731,20200,100
n100_strongly_01,100,strongly,GA,GA_BASE,9,20261715,34723,28123,34723,0.0,153.63810200142325,20200,100
n100_strongly_01,100,strongly,GA,GA_POP_50,0,20261706,34720,28120,34723,0.008639806468335108,76.06198899884475,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,1,20261707,34623,28123,34723,0.28799354894450363,76.16017399959674,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,2,20261708,34722,28122,34723,0.0028799354894450363,76.77720100036822,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,3,20261709,34722,28122,34723,0.0028799354894450363,76.43943900075101,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,4,20261710,34721,28121,34723,0.005759870978890073,77.21844299885561,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,5,20261711,34722,28122,34723,0.0028799354894450363,77.29407999977411,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,6,20261712,34723,28123,34723,0.0,76.59674700153118,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,7,20261713,34723,28123,34723,0.0,77.34944500043639,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,8,20261714,34619,28119,34723,0.2995132909022838,77.13441399937437,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_50,9,20261715,34723,28123,34723,0.0,77.30151799842133,10100,100
n100_strongly_01,100,strongly,GA,GA_POP_200,0,20261706,34723,28123,34723,0.0,334.0978880005423,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,1,20261707,34723,28123,34723,0.0,315.56748900038656,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,2,20261708,34723,28123,34723,0.0,331.8873939988407,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,3,20261709,34723,28123,34723,0.0,310.18698800107813,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,4,20261710,34723,28123,34723,0.0,329.2703219995019,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,5,20261711,34723,28123,34723,0.0,312.9610659998434,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,6,20261712,34723,28123,34723,0.0,308.60285600101633,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,7,20261713,34723,28123,34723,0.0,315.7636980013194,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,8,20261714,34723,28123,34723,0.0,313.35457699969993,40400,100
n100_strongly_01,100,strongly,GA,GA_POP_200,9,20261715,34721,28121,34723,0.005759870978890073,314.9440799988952,40400,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,0,20261706,34723,28123,34723,0.0,154.35002699996403,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,1,20261707,34720,28120,34723,0.008639806468335108,151.21329500107095,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,2,20261708,34723,28123,34723,0.0,150.75757700105896,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,3,20261709,34723,28123,34723,0.0,150.2311420008482,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,4,20261710,34623,28123,34723,0.28799354894450363,152.49978999963787,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,5,20261711,34722,28122,34723,0.0028799354894450363,182.10175500098558,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,6,20261712,34722,28122,34723,0.0028799354894450363,160.89194000051066,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,7,20261713,34720,28120,34723,0.008639806468335108,168.1357889992796,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,8,20261714,34722,28122,34723,0.0028799354894450363,158.9042049999989,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_060,9,20261715,34722,28122,34723,0.0028799354894450363,155.26407399920572,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_095,0,20261706,34723,28123,34723,0.0,224.23401100058982,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_095,1,20261707,34723,28123,34723,0.0,176.70347200146352,20200,100
n100_strongly_01,100,strongly,GA,GA_CROSS_095,2,20261708,34723,28123,34723,0.0,187.64640799963672,20200,100
